Gene	Gene synonym	Ensembl	Gene description	Uniprot	Chromosome	Position	Protein class	Biological process	Molecular function	Disease involvement	Evidence	HPA evidence	UniProt evidence	NeXtProt evidence	RNA tissue specificity	RNA tissue distribution	RNA tissue specificity score	RNA tissue specific nTPM	RNA single cell type specificity	RNA single cell type distribution	RNA single cell type specificity score	RNA single cell type specific nTPM	RNA single nuclei brain specificity	RNA single nuclei brain distribution	RNA single nuclei brain specificity score	RNA single nuclei brain specific nTPM	RNA cancer specificity	RNA cancer distribution	RNA cancer specificity score	RNA cancer specific FPKM	RNA brain regional specificity	RNA brain regional distribution	RNA brain regional specificity score	RNA brain regional specific nTPM	RNA blood cell specificity	RNA blood cell distribution	RNA blood cell specificity score	RNA blood cell specific nTPM	RNA blood lineage specificity	RNA blood lineage distribution	RNA blood lineage specificity score	RNA blood lineage specific nTPM	RNA cell line specificity	RNA cell line distribution	RNA cell line specificity score	RNA cell line specific nTPM	RNA tissue cell type enrichment	RNA mouse brain regional specificity	RNA mouse brain regional distribution	RNA mouse brain regional specificity score	RNA mouse brain regional specific nTPM	RNA pig brain regional specificity	RNA pig brain regional distribution	RNA pig brain regional specificity score	RNA pig brain regional specific nTPM	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Secretome location	Secretome function	CCD Protein	CCD Transcript	Blood concentration - Conc. blood IM [pg/L]	Blood concentration - Conc. blood MS [pg/L]	Blood expression cluster	Tissue expression cluster	Brain expression cluster	Cell line expression cluster	Single cell expression cluster	Interactions	Subcellular main location	Subcellular additional location	Antibody RRID	Cancer prognostics - Bladder Urothelial Carcinoma (TCGA)	Cancer prognostics - Breast Invasive Carcinoma (TCGA)	Cancer prognostics - Breast Invasive Carcinoma (validation)	Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA)	Cancer prognostics - Colon Adenocarcinoma (TCGA)	Cancer prognostics - Colon Adenocarcinoma (validation)	Cancer prognostics - Glioblastoma Multiforme (TCGA)	Cancer prognostics - Glioblastoma Multiforme (validation)	Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA)	Cancer prognostics - Kidney Chromophobe (TCGA)	Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA)	Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation)	Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA)	Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA)	Cancer prognostics - Liver Hepatocellular Carcinoma (validation)	Cancer prognostics - Lung Adenocarcinoma (TCGA)	Cancer prognostics - Lung Adenocarcinoma (validation)	Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA)	Cancer prognostics - Lung Squamous Cell Carcinoma (validation)	Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA)	Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation)	Cancer prognostics - Pancreatic Adenocarcinoma (TCGA)	Cancer prognostics - Pancreatic Adenocarcinoma (validation)	Cancer prognostics - Prostate Adenocarcinoma (TCGA)	Cancer prognostics - Rectum Adenocarcinoma (TCGA)	Cancer prognostics - Rectum Adenocarcinoma (validation)	Cancer prognostics - Skin Cuteneous Melanoma (TCGA)	Cancer prognostics - Stomach Adenocarcinoma (TCGA)	Cancer prognostics - Testicular Germ Cell Tumor (TCGA)	Cancer prognostics - Thyroid Carcinoma (TCGA)	Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)
OIT3	FLJ39116, LZP	ENSG00000138315	Oncoprotein induced transcript 3	Q8WWZ8	10	72893584-72933036	Plasma proteins, Predicted secreted proteins				Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	14	liver: 107.5	Group enriched	Detected in some	8	"Endothelial cells: 96.8;Fibroblasts: 45.0;Kupffer cells: 61.7"	Cell type enhanced	Detected in many		upper rhombic lip: 6.3	Cancer enhanced	Detected in some		Liver Hepatocellular Carcinoma (TCGA): 5.1	Region enhanced	Detected in some		cerebellum: 2.9	Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enriched	Detected in single	4	liver cancer: 1.3	Kidney - Proximal tubular cells, Kidney - Proximal tubular cells, Testis - Early spermatids	Not detected	Not detected			Not detected	Not detected								Secreted to blood	No annotated function	NA	NA		70000000		Cluster 31: Liver - Plasma proteins	Cluster 35: Non-specific - DNA binding	Cluster 1: Neuronal - Visual perception	Cluster 41: Adipocytes & Endothelial cells - Mixed function	9						unprognostic (3.28e-2)								unprognostic (3.89e-8)	unprognostic (2.88e-6)		unprognostic (5.33e-2)	unprognostic (3.59e-2)										unprognostic (4.31e-2)				unprognostic (2.48e-1)	unprognostic (9.55e-3)	
ORM1		ENSG00000229314	Orosomucoid 1	P02763	9	114323098-114326479	Cancer-related genes, Candidate cardiovascular disease genes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins	Acute phase, Transport		Cancer-related genes, FDA approved drug targets	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in many	177	liver: 41892.9	Cell type enriched	Detected in some	53	Hepatocytes: 54806.5	Not detected	Not detected			Cancer enriched	Detected in many	13	Liver Hepatocellular Carcinoma (TCGA): 6498.2	Low region specificity	Detected in single			Immune cell enriched	Detected in some	47	neutrophil: 201.8	Lineage enriched	Detected in many	47	granulocytes: 201.8	Cancer enriched	Detected in many	4	liver cancer: 243.4	Liver - Hepatocytes, Lung - Neutrophil_2									CAB006265, HPA046438, HPA047725, HPA057726	Approved		Approved	Golgi apparatus,Vesicles	Secreted to blood	Acute phase	NA	NA	9,45E+11	45000000000	Cluster 4: Neutrophils - Degranulation	Cluster 31: Liver - Plasma proteins	Cluster 54: Immune cells - T cell receptor	Cluster 18: Liver cancer - Metabolism	Cluster 43: Hepatocytes - Metabolism	22	Vesicles	Golgi apparatus	CAB006265: AB_425575, HPA046438: AB_2679666, HPA047725: AB_2680133, HPA057726: AB_2683512		unprognostic (3.93e-2)	unprognostic (1.23e-1)	unprognostic (3.16e-3)	unprognostic (9.91e-3)	unprognostic (1.90e-2)					unprognostic (1.99e-2)			unprognostic (2.80e-1)	unprognostic (1.06e-3)	unprognostic (6.76e-2)	unprognostic (1.88e-1)	unprognostic (3.21e-2)	unprognostic (1.15e-1)	unprognostic (1.14e-1)	unprognostic (2.19e-1)	unprognostic (2.59e-3)	unprognostic (3.21e-2)	unprognostic (1.77e-1)	unprognostic (1.13e-1)	unprognostic (1.32e-1)	unprognostic (6.24e-1)	unprognostic (1.21e-1)	unprognostic (1.98e-2)	unprognostic (1.40e-2)	unprognostic (9.18e-2)
ORM2	AGP-B, AGP-B', AGP2	ENSG00000228278	Orosomucoid 2	P19652	9	114329869-114333251	FDA approved drug targets, Plasma proteins, Predicted secreted proteins	Acute phase, Transport		FDA approved drug targets	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in many	297	liver: 8652.9	Cell type enriched	Detected in some	44	Hepatocytes: 9678.3	Not detected	Not detected			Cancer enriched	Detected in many	34	Liver Hepatocellular Carcinoma (TCGA): 1922.8	Low region specificity	Detected in some			Immune cell enriched	Detected in single	39	neutrophil: 13.2	Lineage enriched	Detected in single	39	granulocytes: 13.2	Cancer enriched	Detected in some	27	liver cancer: 95.6	Liver - Hepatocytes, Testis - Late spermatids									HPA046438, HPA047725, HPA057726	Approved		Approved	Golgi apparatus,Vesicles	Secreted to blood	Acute phase	NA	NA	422000000	29000000000	Cluster 4: Neutrophils - Degranulation	Cluster 31: Liver - Plasma proteins	Cluster 33: Neurons - Mixed function	Cluster 18: Liver cancer - Metabolism	Cluster 43: Hepatocytes - Metabolism	5	Vesicles	Golgi apparatus	HPA046438: AB_2679666, HPA047725: AB_2680133, HPA057726: AB_2683512		unprognostic (7.46e-3)	unprognostic (3.41e-1)								unprognostic (5.58e-6)			unprognostic (7.37e-2)	unprognostic (6.31e-3)	unprognostic (1.30e-1)	unprognostic (9.43e-3)	unprognostic (1.20e-2)	unprognostic (1.04e-1)	unprognostic (2.26e-1)		unprognostic (6.38e-3)	unprognostic (5.45e-1)	unprognostic (5.21e-2)	unprognostic (1.30e-1)		unprognostic (6.66e-1)	unprognostic (3.30e-1)			unprognostic (5.20e-1)
PCSK9	FH3, HCHOLA3, NARC-1	ENSG00000169174	Proprotein convertase subtilisin/kexin type 9	Q8NBP7	1	55039447-55064852	Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Apoptosis, Cholesterol metabolism, Lipid metabolism, Steroid metabolism, Sterol metabolism	Hydrolase, Protease, Serine protease	Disease variant, FDA approved drug targets	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	5	liver: 47.6	Group enriched	Detected in some	4	"Alveolar cells type 2: 31.1;Hepatocytes: 28.2;Kupffer cells: 13.4"	Group enriched	Detected in some	5	"lower rhombic lip: 10.3;upper rhombic lip: 8.0"	Low cancer specificity	Detected in many			Group enriched	Detected in some	6	"cerebellum: 7.1;medulla oblongata: 1.8;pons: 4.4"	Not detected in immune cells	Not detected			Not detected	Not detected			Low cancer specificity	Detected in many			Lung - Alveolar cells type 2, Spleen - Neutrophils	Low region specificity	Detected in many			Low region specificity	Detected in many								Secreted to blood	Enzyme	NA	NA	143000000	320000000		Cluster 83: Liver - Metabolism	Cluster 37: Neurons - Mixed function	Cluster 57: Stomach & Colon cancer - Digestion	Cluster 62: Hepatocytes - Metabolism	36				unprognostic (1.11e-2)		unprognostic (7.09e-2)	unprognostic (1.73e-1)	unprognostic (5.33e-1)	unprognostic (1.23e-1)			unprognostic (7.94e-2)					unprognostic (3.51e-4)	unprognostic (1.39e-1)	unprognostic (5.57e-3)	unprognostic (6.19e-2)	unprognostic (3.01e-1)	unprognostic (1.29e-2)			unprognostic (3.83e-3)	unprognostic (7.22e-2)		unprognostic (2.25e-1)	unprognostic (9.89e-2)	unprognostic (3.51e-2)	unprognostic (1.04e-1)	unprognostic (1.20e-1)		unprognostic (2.98e-1)
PGLYRP2	PGLYRPL, PGRP-L, PGRPL, tagL, tagL-alpha, tagl-beta, TAGL-like	ENSG00000161031	Peptidoglycan recognition protein 2	Q96PD5	19	15468645-15498956	Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Immunity	Hydrolase		Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	45	liver: 250.7	Cell type enriched	Detected in some	8	Hepatocytes: 132.3	Cell type enhanced	Detected in some		leukocyte: 3.7	Cancer enriched	Detected in some	10	Liver Hepatocellular Carcinoma (TCGA): 79.2	Not detected	Not detected			Low immune cell specificity	Detected in many			Group enriched	Detected in many	7	"granulocytes: 3.4;monocytes: 5.1;T-cells: 2.3"	Group enriched	Detected in some	4	"Bone cancer: 4.9;breast cancer: 5.8"	Breast - Breast glandular cells, Breast - Breast glandular cells, Liver - Hepatocytes, Testis - Sertoli cells	Not detected	Not detected			Not detected	Not detected			CAB033468, HPA046311, HPA075237	Supported		Approved	Cell Junctions	Secreted to blood	Immunity	NA	NA		52000000000	Cluster 37: Monocytes & Neutrophils - Innate immune response	Cluster 31: Liver - Plasma proteins		Cluster 27: Breast cancer - Unknown function	Cluster 43: Hepatocytes - Metabolism		Cell Junctions		CAB033468: AB_1127187, HPA046311: AB_2679621, HPA075237: AB_2686739		unprognostic (8.90e-2)	unprognostic (2.49e-2)											unprognostic (4.42e-3)	unprognostic (2.93e-4)																
PLG		ENSG00000122194	Plasminogen	P00747	6	160702194-160754097	Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Blood coagulation, Fibrinolysis, Hemostasis, Tissue remodeling	Hydrolase, Protease, Serine protease	Cancer-related genes, Disease variant, FDA approved drug targets, Thrombophilia	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	11	liver: 2571.0	Cell type enriched	Detected in some	8	Hepatocytes: 1618.7	Low cell type specificity	Detected in some			Cancer enriched	Detected in some	43	Liver Hepatocellular Carcinoma (TCGA): 341.7	Low region specificity	Detected in many			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enhanced	Detected in single		liver cancer: 2.6	Kidney - Proximal tubular cells, Kidney - Proximal tubular cells, Liver - Hepatocytes, Lung - Respiratory ciliated cells	Not detected	Not detected			Low region specificity	Detected in all			CAB000668, CAB016678, HPA021602, HPA048823, HPA053770	Supported		Approved	Vesicles	Secreted to blood	Blood coagulation	NA	NA	1,4E+11	54000000000		Cluster 1: Liver & Kidney - Metabolism	Cluster 14: Neurons - Synaptic function	Cluster 18: Liver cancer - Metabolism	Cluster 62: Hepatocytes - Metabolism	16	Vesicles		CAB000668: , CAB016678: AB_1621208, HPA021602: AB_1855453, HPA048823: AB_2680532, HPA053770: AB_2682256											unprognostic (4.99e-8)	unprognostic (5.03e-3)		unprognostic (2.54e-3)	unprognostic (2.09e-3)																
PLGLB2	PLGP1	ENSG00000125551	Plasminogen like B2	Q02325	2	87748087-87759476	Predicted secreted proteins				Evidence at protein level	Evidence at transcript level	No human protein/transcript evidence	Evidence at protein level	Tissue enriched	Detected in some	165	liver: 443.3	Cell type enriched	Detected in some	11	Hepatocytes: 66.2	Not detected	Not detected			Cancer enriched	Detected in single	34	Liver Hepatocellular Carcinoma (TCGA): 17.5	Low region specificity	Detected in all			Not detected in immune cells	Not detected			Not detected	Not detected			Low cancer specificity	Detected in some												HPA053770			Approved	Vesicles	Secreted to blood	No annotated function	NA	NA				Cluster 31: Liver - Plasma proteins	Cluster 15: Non-specific - Transcription	Cluster 59: Leukemia - T-cell receptor	Cluster 43: Hepatocytes - Metabolism		Vesicles		HPA053770: AB_2682256			unprognostic (6.36e-2)			unprognostic (1.09e-1)								unprognostic (9.29e-3)	unprognostic (5.45e-4)											unprognostic (8.23e-2)					
PON1	ESA, PON	ENSG00000005421	Paraoxonase 1	P27169	7	95297676-95324532	Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted secreted proteins, Transporters		Hydrolase	Cancer-related genes	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	103	liver: 516.3	Cell type enriched	Detected in some	13	Hepatocytes: 428.5	Group enriched	Detected in some	11	"astrocyte: 15.4;bergmann glia: 13.8;oligodendrocyte precursor cell: 7.5"	Cancer enriched	Detected in single	70	Liver Hepatocellular Carcinoma (TCGA): 64.8	Low region specificity	Detected in many			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enhanced	Detected in some		"liver cancer: 1.0;prostate cancer: 2.4"	Liver - Hepatocytes	Not detected	Not detected			Low region specificity	Detected in all			HPA001610	Approved				Secreted to blood	Enzyme	NA	NA	96000000000	13000000000		Cluster 31: Liver - Plasma proteins	Cluster 10: Cerebellum - Nucleic acid binding	Cluster 59: Leukemia - T-cell receptor	Cluster 43: Hepatocytes - Metabolism	4			HPA001610: AB_1079656			unprognostic (2.19e-1)											unprognostic (3.48e-6)	unprognostic (7.76e-4)						unprognostic (1.23e-1)										
PON3		ENSG00000105852	Paraoxonase 3	Q15166	7	95359872-95396375	Candidate cardiovascular disease genes, Enzymes, Metabolic proteins, Plasma proteins, Predicted secreted proteins		Hydrolase		Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in many	20	liver: 598.0	Cell type enriched	Detected in many	9	Hepatocytes: 520.9	Group enriched	Detected in some	4	"astrocyte: 46.1;bergmann glia: 33.3;fibroblast: 51.7;oligodendrocyte precursor cell: 33.1;pericyte: 32.7"	Group enriched	Detected in many	8	"Liver Hepatocellular Carcinoma (TCGA): 105.8;Lung Adenocarcinoma (TCGA): 43.7"	Low region specificity	Detected in many			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enhanced	Detected in many		liver cancer: 14.6	Heart muscle - Fibroblasts, Liver - Hepatocytes, Lung - Alveolar cells type 2, Minor Salivary Gland - Minor salivary glandular cells, Pituitary gland - Gonadotropes, Skin - Sebaceous gland cells, Thyroid gland - Thyroid glandular cells	Low region specificity	Detected in all			Low region specificity	Detected in some			HPA014848, CAB025250	Enhanced				Secreted to blood	Enzyme	NA	NA	1760000000	450000000		Cluster 83: Liver - Metabolism	Cluster 41: Monoamines - Neurotransmitter signalling	Cluster 7: Liver cancer - Metabolism	Cluster 43: Hepatocytes - Metabolism	1			CAB025250: , HPA014848: AB_1855540	unprognostic (8.63e-2)	unprognostic (1.73e-1)	unprognostic (9.69e-2)	unprognostic (3.21e-2)	unprognostic (1.32e-1)	unprognostic (2.02e-2)			unprognostic (9.28e-2)			unprognostic (3.98e-3)		unprognostic (3.01e-4)	unprognostic (8.77e-4)	unprognostic (1.19e-1)	unprognostic (4.33e-1)	unprognostic (4.97e-2)	unprognostic (8.26e-3)	unprognostic (2.24e-2)	unprognostic (8.16e-2)	unprognostic (9.98e-2)	unprognostic (3.25e-3)		unprognostic (2.01e-1)	unprognostic (6.33e-3)		unprognostic (1.11e-1)	unprognostic (2.28e-1)	unprognostic (1.46e-1)	
PROC		ENSG00000115718	Protein C, inactivator of coagulation factors Va and VIIIa	P04070	2	127418427-127429242	Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Blood coagulation, Hemostasis	Hydrolase, Protease, Serine protease	Cancer-related genes, Disease variant, FDA approved drug targets, Thrombophilia	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	40	liver: 584.1	Cell type enriched	Detected in some	4	Hepatocytes: 339.4	Cell type enhanced	Detected in some		"deep-layer near-projecting: 3.9;lower rhombic lip: 6.0"	Cancer enriched	Detected in many	8	Liver Hepatocellular Carcinoma (TCGA): 255.2	Low region specificity	Detected in many			Immune cell enriched	Detected in some	9	plasmacytoid DC: 59.8	Lineage enriched	Detected in many	9	dendritic cells: 59.8	Cancer enriched	Detected in many	6	liver cancer: 28.4	Kidney - Proximal tubular cells, Kidney - Proximal tubular cells, Liver - Hepatocytes, Skin - Outer root sheath cells					Not detected	Not detected			HPA005550, CAB016721, CAB016792	Approved				Secreted to blood	Blood coagulation	NA	NA		3100000000	Cluster 8: Plasmacytoid DCs - Unknown function	Cluster 31: Liver - Plasma proteins	Cluster 26: Oligodendrocytes - Mixed function	Cluster 18: Liver cancer - Metabolism	Cluster 43: Hepatocytes - Metabolism	2			CAB016721: , CAB016792: , HPA005550: AB_1079687	unprognostic (7.94e-3)		unprognostic (3.70e-1)	unprognostic (1.49e-3)	unprognostic (1.17e-1)	unprognostic (9.83e-2)			unprognostic (1.48e-2)		unprognostic (4.90e-3)	unprognostic (1.51e-2)	unprognostic (5.54e-3)	unprognostic (4.00e-3)	unprognostic (2.23e-4)	unprognostic (3.33e-1)	unprognostic (3.83e-2)	unprognostic (6.96e-2)				unprognostic (1.51e-2)	unprognostic (1.44e-1)	unprognostic (6.80e-2)	unprognostic (3.75e-2)	unprognostic (5.17e-2)		unprognostic (4.98e-3)	unprognostic (3.49e-1)	unprognostic (1.86e-2)	unprognostic (9.58e-3)
PROZ	PZ	ENSG00000126231	Protein Z, vitamin K dependent plasma glycoprotein	P22891	13	113158648-113172386	Candidate cardiovascular disease genes, Enzymes, Plasma proteins, Predicted secreted proteins	Blood coagulation, Hemostasis	Serine protease homolog		Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	8	liver: 106.6	Cell type enriched	Detected in some	7	Hepatocytes: 63.9	Not detected	Not detected			Cancer enriched	Detected in some	11	Liver Hepatocellular Carcinoma (TCGA): 14.0	Low region specificity	Detected in many			Not detected in immune cells	Not detected			Not detected	Not detected			Low cancer specificity	Detected in some			Kidney - Proximal tubular cells, Liver - Hepatocytes	Not detected	Not detected							HPA052006	Supported				Secreted to blood	Blood coagulation	NA	NA	1720000000	600000000		Cluster 1: Liver & Kidney - Metabolism	Cluster 5: Non-specific - Mixed function	Cluster 59: Leukemia - T-cell receptor	Cluster 62: Hepatocytes - Metabolism	1			HPA052006: AB_2681691			unprognostic (2.57e-1)							unprognostic (3.51e-2)				unprognostic (7.59e-4)	unprognostic (7.15e-3)																
PZP	CPAMD6	ENSG00000126838	PZP alpha-2-macroglobulin like	P20742	12	9148840-9208395	Cancer-related genes, Plasma proteins, Predicted secreted proteins		Protease inhibitor, Serine protease inhibitor	Cancer-related genes	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	35	liver: 79.0	Cell type enhanced	Detected in some		"Ciliated cells: 12.1;Early spermatids: 28.3;Hepatocytes: 22.5;Late spermatids: 11.4;Oligodendrocyte precursor cells: 8.0"	Group enriched	Detected in many	5	"ependymal cell: 171.8;leukocyte: 66.1"	Cancer enhanced	Detected in some		"Liver Hepatocellular Carcinoma (TCGA): 1.1;Uterine Corpus Endometrial Carcinoma (TCGA): 1.0"	Low region specificity	Detected in all			Immune cell enhanced	Detected in some		"gdT-cell: 1.1;MAIT T-cell: 1.1"	Lineage enriched	Detected in single	11	T-cells: 1.1	Cancer enriched	Detected in single	9	cervical cancer: 1.9	Adipose subcutaneous - Endothelial cells, Lung - Respiratory ciliated cells, Skin - Endothelial cells, Testis - Early spermatids, Testis - Late spermatids									HPA041403, HPA041471	Supported				Secreted to blood	Enzyme inhibitor	NA	NA		26000000000	Cluster 1: T-cells - Unknown function	Cluster 31: Liver - Plasma proteins	Cluster 46: Brainstem - Mixed function	Cluster 7: Liver cancer - Metabolism	Cluster 42: Ciliated cells - Cilium assembly				HPA041403: AB_10804003, HPA041471: AB_10795636			unprognostic (3.02e-2)											unprognostic (1.21e-3)	unprognostic (3.62e-3)																unprognostic (5.32e-1)
RBP4		ENSG00000138207	Retinol binding protein 4	P02753	10	93591687-93601744	Cancer-related genes, Disease related genes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins, Transporters	Sensory transduction, Transport, Vision		Cancer-related genes, Disease variant, Microphthalmia	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in many	19	liver: 10726.7	Cell type enriched	Detected in many	13	Hepatocytes: 12476.9	Low cell type specificity	Detected in many			Cancer enriched	Detected in many	11	Liver Hepatocellular Carcinoma (TCGA): 5791.6	Region enriched	Detected in all	4	hypothalamus: 204.5	Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enriched	Detected in many	4	liver cancer: 195.7	Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Liver - Hepatocytes, Lung - Macrophages, Minor Salivary Gland - Adipocytes (Minor salivary gland), Pancreas - Beta cells, Skin - Adipocytes (Skin), Testis - Spermatogonia	Low region specificity	Detected in all			Low region specificity	Detected in many			HPA001641, CAB004555	Supported				Secreted to blood	Transport	NA	NA	46100000000	1,2E+11		Cluster 83: Liver - Metabolism	Cluster 56: Hypothalamus - Neuropeptide signaling	Cluster 18: Liver cancer - Metabolism	Cluster 43: Hepatocytes - Metabolism	9			CAB004555: AB_670938, HPA001641: AB_1079795	unprognostic (6.15e-2)	unprognostic (1.40e-2)	unprognostic (2.97e-2)	unprognostic (2.68e-2)	unprognostic (3.83e-2)	unprognostic (1.66e-1)	unprognostic (1.73e-2)		unprognostic (2.84e-4)		unprognostic (1.39e-1)	unprognostic (5.27e-2)	unprognostic (1.38e-5)	unprognostic (2.57e-7)	unprognostic (6.90e-4)	unprognostic (1.05e-1)	unprognostic (1.76e-1)	unprognostic (1.81e-1)	unprognostic (3.01e-1)	unprognostic (1.42e-2)	unprognostic (3.76e-2)	unprognostic (3.57e-1)	unprognostic (1.66e-1)	unprognostic (5.26e-1)	unprognostic (3.03e-2)	unprognostic (8.48e-2)	unprognostic (2.18e-1)	unprognostic (1.19e-3)	unprognostic (2.50e-1)	unprognostic (3.99e-2)	unprognostic (1.59e-2)
RNASE4	RAB1	ENSG00000258818	Ribonuclease A family member 4	P34096	14	20684560-20701216	Plasma proteins, Predicted secreted proteins		Antibiotic, Antimicrobial, Endonuclease, Hydrolase, Nuclease		Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in all	4	liver: 463.8	Cell type enhanced	Detected in many		"Enteroendocrine cells: 56.1;Gastric mucus-secreting cells: 48.9;Hepatocytes: 47.7;Intestinal goblet cells: 97.9;Proximal enterocytes: 38.9"	Cell type enhanced	Detected in some		"fibroblast: 14.6;pericyte: 19.5;vascular associated smooth muscle cell: 26.1"	Cancer enhanced	Detected in all		Liver Hepatocellular Carcinoma (TCGA): 92.0	Low region specificity	Detected in all			Immune cell enhanced	Detected in many		classical monocyte: 24.1	Low lineage specificity	Detected in many			Low cancer specificity	Detected in many			Adrenal gland - Fibroblasts, Heart muscle - Fibroblasts, Liver - Hepatocytes, Minor Salivary Gland - Minor salivary glandular cells, Spleen - Fibroblast_2, Thyroid gland - Fibroblasts	Low region specificity	Detected in all			Low region specificity	Detected in all								Secreted to blood	Enzyme	NA	NA		59000000	Cluster 2: Dendritic cells - Unknown function	Cluster 83: Liver - Metabolism	Cluster 39: Astrocytes - Mixed function	Cluster 2: Mucus-secreting cells - Unknown function	Cluster 16: Intestinal goblet cells - Mucin production	1				unprognostic (1.48e-1)	unprognostic (8.01e-2)	unprognostic (5.32e-2)	unprognostic (4.08e-2)	unprognostic (1.73e-2)	unprognostic (5.35e-1)	unprognostic (6.35e-3)		unprognostic (7.00e-2)	unprognostic (1.15e-1)	unprognostic (2.36e-5)	unprognostic (7.63e-4)	unprognostic (3.32e-3)	unprognostic (1.53e-5)	unprognostic (1.96e-3)	unprognostic (9.39e-2)	unprognostic (1.79e-1)	unprognostic (4.86e-2)	unprognostic (2.53e-2)	unprognostic (7.11e-2)	unprognostic (2.87e-1)	unprognostic (6.95e-2)	unprognostic (3.57e-3)	unprognostic (1.41e-1)	unprognostic (1.34e-1)	unprognostic (9.45e-5)	unprognostic (1.60e-1)	unprognostic (2.56e-3)	unprognostic (2.50e-1)	unprognostic (6.66e-2)	unprognostic (1.09e-1)
