Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA single nuclei brain specificity"	"RNA single nuclei brain distribution"	"RNA single nuclei brain specificity score"	"RNA single nuclei brain specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Cancer prognostics - Bladder Urothelial Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (validation)"	"Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (validation)"	"Cancer prognostics - Glioblastoma Multiforme (TCGA)"	"Cancer prognostics - Glioblastoma Multiforme (validation)"	"Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Chromophobe (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation)"	"Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (validation)"	"Cancer prognostics - Lung Adenocarcinoma (TCGA)"	"Cancer prognostics - Lung Adenocarcinoma (validation)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (validation)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation)"	"Cancer prognostics - Pancreatic Adenocarcinoma (TCGA)"	"Cancer prognostics - Pancreatic Adenocarcinoma (validation)"	"Cancer prognostics - Prostate Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (validation)"	"Cancer prognostics - Skin Cuteneous Melanoma (TCGA)"	"Cancer prognostics - Stomach Adenocarcinoma (TCGA)"	"Cancer prognostics - Testicular Germ Cell Tumor (TCGA)"	"Cancer prognostics - Thyroid Carcinoma (TCGA)"	"Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)"
SGPL1	SPL	ENSG00000166224	"Sphingosine-1-phosphate lyase 1"	O95470	10	70815905-70895816	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"	"Apoptosis, Lipid metabolism, Sphingolipid metabolism"	Lyase	"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Cancer enhanced"	"Detected in all"		"Adrenocortical cancer: 138.6"	"Pituitary gland - Thyrotropes, Skin - Keratinocyte (granular), Spleen - Macrophages"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA021125, HPA023086"	Enhanced		Supported	"Endoplasmic reticulum"			NA	NA			"Cluster 37: Monocytes & Neutrophils - Innate immune response"	"Cluster 16: Non-specific - Transcription"	"Cluster 39: Astrocytes - Mixed function"	"Cluster 32: Non-specific - Cell proliferation"	"Cluster 45: Non-specific - Mixed function"	69	"Endoplasmic reticulum"		"HPA021125: AB_1856803, HPA023086: AB_1856804"	"unprognostic (7.75e-2)"	"unprognostic (7.20e-2)"	"unprognostic (2.32e-3)"	"unprognostic (5.44e-2)"	"unprognostic (1.17e-2)"	"unprognostic (3.01e-3)"	"unprognostic (1.66e-1)"	"unprognostic (2.58e-4)"	"unprognostic (8.81e-2)"	"unprognostic (2.47e-1)"	"unprognostic (2.44e-3)"	"unprognostic (5.51e-2)"	"unprognostic (3.16e-1)"	"unprognostic (2.04e-2)"	"unprognostic (2.99e-2)"	"unprognostic (4.48e-2)"	"unprognostic (1.35e-2)"	"unprognostic (7.84e-2)"	"unprognostic (1.65e-1)"	"unprognostic (1.17e-1)"	"unprognostic (1.20e-1)"	"unprognostic (4.22e-3)"	"unprognostic (1.38e-1)"	"unprognostic (1.13e-1)"	"unprognostic (2.33e-1)"	"unprognostic (1.63e-1)"	"unprognostic (5.25e-1)"	"unprognostic (3.19e-1)"	"unprognostic (1.62e-1)"	"unprognostic (1.16e-1)"	"unprognostic (1.75e-1)"
SLC35B1	"AXER, UGTREL1"	ENSG00000121073	"Solute carrier family 35 member B1"	P78383	17	49700934-49709014	"Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Antiport, Transport"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA048655, HPA057418"	Approved		Supported	"Endoplasmic reticulum,Vesicles"			NA	NA			"Cluster 13: Non-specific - Mitochondria"	"Cluster 35: Non-specific - Mitochondria"	"Cluster 21: Non-specific - Metabolism"	"Cluster 27: Breast cancer - Unknown function"	"Cluster 77: Plasma cells - Protein processing"	17	"Endoplasmic reticulum"	Vesicles	"HPA048655: AB_2680481, HPA057418: AB_2683432"	"unprognostic (1.36e-2)"	"unprognostic (1.56e-2)"	"unprognostic (1.33e-1)"	"unprognostic (1.76e-1)"	"unprognostic (2.13e-5)"	"unprognostic (8.77e-2)"	"unprognostic (1.25e-1)"	"unprognostic (3.39e-2)"	"unprognostic (7.15e-2)"	"unprognostic (4.77e-5)"	"unprognostic (1.18e-4)"	"unprognostic (2.10e-1)"	"unprognostic (1.68e-1)"	"unprognostic (1.64e-2)"	"unprognostic (2.03e-3)"	"unprognostic (4.84e-2)"	"unprognostic (7.70e-2)"	"unprognostic (1.37e-1)"	"unprognostic (3.12e-2)"	"unprognostic (1.78e-1)"	"unprognostic (4.50e-1)"	"unprognostic (5.92e-2)"	"unprognostic (2.12e-1)"	"unprognostic (1.53e-1)"	"unprognostic (7.41e-2)"	"unprognostic (7.63e-2)"	"unprognostic (2.85e-1)"	"unprognostic (6.91e-2)"	"unprognostic (9.67e-2)"	"unprognostic (3.15e-1)"	"unprognostic (1.22e-1)"
SLC39A7	"D6S2244E, H2-KE4, HKE4, KE4, RING5, ZIP7"	ENSG00000112473	"Solute carrier family 39 member 7"	Q92504	6	33200305-33204439	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters"	"Ion transport, Transport, Zinc transport"		"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Syncytiotrophoblasts: 185.2"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Minor Salivary Gland - Minor salivary glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA053999	Approved		Supported	"Nucleoplasm,Endoplasmic reticulum"			NA	NA			"Cluster 24: Non-specific - Transcription"	"Cluster 68: Non-specific - Protein processing"	"Cluster 44: Non-specific - Mixed function"	"Cluster 63: Non-specific - Protein processing"	"Cluster 77: Plasma cells - Protein processing"	30	"Endoplasmic reticulum"	Nucleoplasm	"HPA053999: AB_2682338"	"unprognostic (5.81e-2)"	"unprognostic (1.17e-2)"	"unprognostic (2.27e-1)"	"unprognostic (2.90e-2)"	"unprognostic (9.47e-2)"	"unprognostic (2.22e-2)"	"unprognostic (6.53e-2)"	"unprognostic (2.50e-2)"	"unprognostic (2.28e-1)"	"unprognostic (1.01e-2)"	"unprognostic (1.99e-6)"	"unprognostic (1.87e-1)"	"unprognostic (4.62e-2)"	"unprognostic (8.02e-4)"	"unprognostic (1.08e-5)"	"unprognostic (1.55e-1)"	"unprognostic (2.66e-2)"	"unprognostic (9.51e-2)"	"unprognostic (2.07e-1)"	"unprognostic (1.91e-1)"	"unprognostic (9.05e-2)"	"unprognostic (2.27e-1)"	"unprognostic (1.94e-3)"	"unprognostic (3.41e-1)"	"unprognostic (5.62e-2)"	"unprognostic (4.77e-2)"	"unprognostic (1.97e-1)"	"unprognostic (1.35e-1)"	"unprognostic (1.59e-1)"	"unprognostic (1.15e-4)"	"unprognostic (9.84e-2)"
SMPD3	NSMASE2	ENSG00000103056	"Sphingomyelin phosphodiesterase 3"	Q9NY59	16	68358327-68448508	"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Cell cycle, Lipid metabolism, Sphingolipid metabolism"	"Developmental protein, Hydrolase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"intestine: 59.8;lymphoid tissue: 50.7"	"Cell type enhanced"	"Detected in many"		"dendritic cells: 221.5;Gastric mucus-secreting cells: 61.3;Horizontal cells: 71.8;Oocytes: 75.0;Proximal enterocytes: 102.5"	"Low cell type specificity"	"Detected in many"			"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in many"	7	"plasmacytoid DC: 139.0"	"Lineage enriched"	"Detected in many"	7	"dendritic cells: 139.0"	"Cancer enhanced"	"Detected in many"		"Leukemia: 11.1;lymphoma: 12.1;Neuroblastoma: 11.2"	"Adipose visceral - Mesothelial cells, Skin - Keratinocyte (granular), Stomach - Gastric mucous cells, Testis - Peritubular cells"	"Region enhanced"	"Detected in all"		"basal ganglia: 115.2"	"Region enhanced"	"Detected in all"		"basal ganglia: 83.7"	"CAB033885, HPA065535, HPA069383"	Approved		Supported	"Endoplasmic reticulum"			NA	NA			"Cluster 29: Non-specific - Unknown function"	"Cluster 25: Small intestine - Absorption"	"Cluster 51: Neurons - Mixed function"	"Cluster 50: Lymphoma - Unknown function"	"Cluster 28: Dendritic cells - Antigen presentation"	2	"Endoplasmic reticulum"		"CAB033885: AB_1126788, HPA065535: , HPA069383: "	"unprognostic (1.83e-1)"	"unprognostic (2.36e-1)"	"unprognostic (3.44e-1)"	"unprognostic (1.50e-2)"	"unprognostic (8.77e-2)"	"unprognostic (1.22e-1)"	"unprognostic (7.87e-2)"		"unprognostic (2.25e-3)"							"unprognostic (1.33e-1)"	"unprognostic (4.80e-2)"	"unprognostic (2.47e-1)"				"unprognostic (8.54e-2)"	"unprognostic (3.89e-2)"	"unprognostic (6.86e-2)"	"unprognostic (2.09e-2)"	"unprognostic (9.54e-4)"	"unprognostic (3.15e-2)"	"unprognostic (1.51e-2)"	"unprognostic (1.98e-1)"		"unprognostic (6.84e-2)"
SPTLC1	"hLCB1, HSAN1, HSN1, LCB1, SPTI"	ENSG00000090054	"Serine palmitoyltransferase long chain base subunit 1"	O15269	9	92000087-92115413	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted membrane proteins"	"Lipid metabolism, Sphingolipid metabolism"	"Acyltransferase, Transferase"	"Amyotrophic lateral sclerosis, Disease variant, Neurodegeneration, Neuropathy"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Adrenal gland - Adrenal cortex cells, Testis - Spermatocytes, Testis - Spermatogonia, Thyroid gland - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA010860, CAB018747, HPA063907"	Supported		Supported	"Endoplasmic reticulum"			NA	NA			"Cluster 37: Monocytes & Neutrophils - Innate immune response"	"Cluster 24: Parathyroid gland - Vesicular transport"	"Cluster 30: White matter - Myelination"	"Cluster 43: Non-specific - Basic cellular processes"	"Cluster 21: Early spermatids - Spermatogenesis"	35	"Endoplasmic reticulum"		"CAB018747: AB_2195864, HPA010860: AB_1080086, HPA063907: AB_2685148"	"unprognostic (1.34e-1)"	"unprognostic (8.77e-2)"	"unprognostic (2.07e-3)"	"unprognostic (6.04e-2)"	"unprognostic (2.22e-1)"	"unprognostic (2.50e-1)"	"unprognostic (1.26e-1)"	"unprognostic (5.35e-2)"	"unprognostic (4.94e-3)"	"unprognostic (4.52e-1)"	"unprognostic (5.23e-7)"	"unprognostic (6.63e-3)"	"unprognostic (6.66e-3)"	"unprognostic (1.60e-2)"	"unprognostic (2.32e-2)"	"unprognostic (1.02e-3)"	"unprognostic (4.18e-2)"	"unprognostic (5.66e-2)"	"unprognostic (4.48e-1)"	"unprognostic (8.59e-2)"	"unprognostic (4.03e-2)"	"unprognostic (1.99e-3)"	"unprognostic (7.57e-2)"	"unprognostic (5.03e-2)"	"unprognostic (3.41e-2)"	"unprognostic (1.44e-1)"	"unprognostic (2.26e-1)"	"unprognostic (7.79e-2)"	"unprognostic (1.15e-1)"	"unprognostic (2.13e-1)"	"unprognostic (8.88e-2)"
SREBF2	"bHLHd2, SREBP2"	ENSG00000198911	"Sterol regulatory element binding transcription factor 2"	Q12772	22	41833079-41907307	"Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transcription factors"	"Cholesterol metabolism, Lipid metabolism, Steroid metabolism, Sterol metabolism, Transcription, Transcription regulation"	"Activator, DNA-binding"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Lung - Alveolar cells type 2, Spleen - B-cells (Spleen)"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA031962, HPA031963"	Approved		Supported	"Nucleoplasm,Endoplasmic reticulum,Vesicles"			NA	NA			"Cluster 13: Non-specific - Mitochondria"	"Cluster 22: Brain - Synaptic signal transduction"	"Cluster 32: Cerebral cortex - Mixed function"	"Cluster 66: Non-specific - Mitochondria"	"Cluster 62: Hepatocytes - Metabolism"	34	"Nucleoplasm, Vesicles"	"Endoplasmic reticulum"	"HPA031962: AB_10601266, HPA031963: AB_2674090"	"unprognostic (1.55e-1)"	"unprognostic (3.64e-2)"	"unprognostic (1.13e-1)"	"unprognostic (4.56e-2)"	"unprognostic (2.43e-1)"	"unprognostic (4.41e-2)"	"unprognostic (1.09e-2)"	"unprognostic (4.81e-2)"	"unprognostic (5.98e-2)"	"unprognostic (8.60e-2)"	"unprognostic (5.11e-4)"	"unprognostic (1.04e-1)"	"unprognostic (1.33e-1)"	"unprognostic (1.31e-1)"	"unprognostic (3.14e-2)"	"unprognostic (5.08e-2)"	"unprognostic (3.45e-1)"	"unprognostic (2.30e-1)"	"unprognostic (3.38e-4)"	"unprognostic (3.57e-2)"	"unprognostic (1.59e-2)"	"unprognostic (2.60e-1)"	"unprognostic (5.63e-2)"	"unprognostic (1.41e-1)"	"unprognostic (1.84e-2)"	"unprognostic (1.84e-1)"	"unprognostic (6.55e-2)"	"unprognostic (1.45e-1)"	"unprognostic (8.61e-2)"	"unprognostic (7.57e-2)"	"unprognostic (6.77e-2)"
SSR1	TRAPA	ENSG00000124783	"Signal sequence receptor subunit 1"	P43307	6	7268306-7347446	"Predicted membrane proteins, Transporters"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Thyroid gland - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA011276, HPA017062"	Enhanced		Supported	"Endoplasmic reticulum"			NA	NA		14000000	"Cluster 10: Non-specific - Membrane trafficking"	"Cluster 53: Non-specific - Glycosylation"	"Cluster 50: Non-specific - Nucleic acid binding"	"Cluster 63: Non-specific - Protein processing"	"Cluster 77: Plasma cells - Protein processing"	63	"Endoplasmic reticulum"		"HPA011276: AB_1857503, HPA017062: AB_1857505"	"unprognostic (7.45e-4)"	"unprognostic (1.12e-1)"	"unprognostic (3.57e-1)"	"unprognostic (9.57e-3)"	"unprognostic (2.85e-3)"	"unprognostic (6.93e-2)"	"unprognostic (3.70e-2)"	"unprognostic (5.38e-3)"	"unprognostic (1.92e-1)"	"unprognostic (5.12e-4)"	"unprognostic (6.75e-5)"	"unprognostic (2.21e-2)"	"unprognostic (6.89e-3)"	"unprognostic (1.05e-3)"	"unprognostic (1.14e-2)"	"unprognostic (1.72e-1)"	"unprognostic (9.81e-2)"	"unprognostic (8.76e-3)"	"unprognostic (4.70e-1)"	"unprognostic (4.44e-2)"	"unprognostic (2.70e-2)"	"unprognostic (3.36e-2)"	"unprognostic (4.60e-2)"	"unprognostic (1.44e-1)"	"unprognostic (1.23e-1)"	"unprognostic (1.43e-1)"	"unprognostic (4.85e-2)"	"unprognostic (2.61e-1)"	"unprognostic (2.85e-1)"	"unprognostic (2.51e-3)"	"unprognostic (2.64e-1)"
SSR4	TRAPD	ENSG00000180879	"Signal sequence receptor subunit 4"	P51571	X	153793516-153798499	"Disease related genes, Human disease related genes, Plasma proteins, Predicted membrane proteins"			"Congenital disorder of glycosylation"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"pancreas: 3019.5"	"Group enriched"	"Detected in all"	4	"Late spermatids: 1743.0;Plasma cells: 6157.1"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Adipose visceral - Adipose progenitor cells, Minor Salivary Gland - Minor salivary glandular cells, Spleen - Plasma cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA045209	Enhanced		Supported	"Endoplasmic reticulum"			NA	NA		150000	"Cluster 13: Non-specific - Mitochondria"	"Cluster 15: Pancreas - Proteolysis"	"Cluster 21: Non-specific - Metabolism"	"Cluster 51: Myeloma - Immunoglobulins"	"Cluster 77: Plasma cells - Protein processing"	49	"Endoplasmic reticulum"		"HPA045209: AB_10961407"	"unprognostic (1.99e-3)"	"unprognostic (2.67e-1)"	"unprognostic (7.86e-3)"	"unprognostic (4.60e-3)"	"unprognostic (2.19e-2)"	"unprognostic (5.28e-2)"	"unprognostic (2.30e-2)"	"unprognostic (8.54e-2)"	"unprognostic (8.07e-2)"	"unprognostic (4.22e-2)"	"unprognostic (2.32e-3)"	"unprognostic (1.90e-5)"	"unprognostic (9.12e-4)"	"unprognostic (1.09e-1)"	"unprognostic (1.95e-2)"	"unprognostic (2.46e-2)"	"unprognostic (6.55e-2)"	"unprognostic (3.08e-2)"	"unprognostic (1.34e-1)"	"unprognostic (1.12e-2)"	"unprognostic (4.53e-3)"	"unprognostic (1.04e-2)"	"unprognostic (1.19e-2)"	"unprognostic (2.17e-1)"	"unprognostic (1.22e-1)"	"unprognostic (2.77e-1)"	"unprognostic (2.09e-1)"	"unprognostic (6.41e-2)"	"unprognostic (1.79e-1)"	"unprognostic (2.79e-1)"	"unprognostic (1.22e-1)"
STT3B	"FLJ90106, SIMP, STT3-B"	ENSG00000163527	"STT3 oligosaccharyltransferase complex catalytic subunit B"	Q8TCJ2	3	31532638-31637616	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters"		"Glycosyltransferase, Transferase"	"Congenital disorder of glycosylation"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Late spermatids: 262.1"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Testis - Early spermatids, Thyroid gland - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA036448, HPA036646"	Approved		Supported	"Endoplasmic reticulum"			NA	NA		7600	"Cluster 30: Non-specific - DNA binding"	"Cluster 16: Non-specific - Transcription"	"Cluster 21: Non-specific - Metabolism"	"Cluster 8: Non-specific - Basic cellular processes"	"Cluster 77: Plasma cells - Protein processing"	105	"Endoplasmic reticulum"		"HPA036448: AB_2675129, HPA036646: AB_10673472"	"unprognostic (1.68e-1)"	"unprognostic (4.76e-2)"	"unprognostic (4.23e-2)"	"unprognostic (4.56e-2)"	"unprognostic (2.95e-2)"	"unprognostic (1.70e-1)"	"unprognostic (2.07e-1)"	"unprognostic (1.03e-2)"	"unprognostic (8.19e-3)"	"unprognostic (2.66e-2)"	"unprognostic (2.03e-4)"	"unprognostic (1.22e-1)"	"unprognostic (7.86e-2)"	"unprognostic (2.57e-2)"	"unprognostic (1.07e-1)"	"unprognostic (1.61e-2)"	"unprognostic (1.07e-1)"	"unprognostic (5.68e-2)"	"unprognostic (2.38e-1)"	"unprognostic (1.21e-1)"	"unprognostic (2.54e-2)"	"unprognostic (3.85e-3)"	"unprognostic (4.26e-2)"	"unprognostic (9.62e-2)"	"unprognostic (1.79e-3)"	"unprognostic (1.17e-1)"	"unprognostic (1.16e-1)"	"unprognostic (8.20e-2)"	"unprognostic (2.37e-1)"	"unprognostic (3.52e-2)"	"unprognostic (3.42e-1)"
STX18	Ufe1	ENSG00000168818	"Syntaxin 18"	Q9P2W9	4	4415742-4542346	"Predicted intracellular proteins, Predicted membrane proteins"	"ER-Golgi transport, Protein transport, Transport"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"cervix: 115.6"	"Cell type enhanced"	"Detected in all"		"Glandular and luminal cells: 251.5"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Testis - Early spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA003019	Approved		Supported	"Endoplasmic reticulum,Plasma membrane"			NA	NA			"Cluster 13: Non-specific - Mitochondria"	"Cluster 59: Fallopian tube - Tissue development"	"Cluster 36: Choroid plexus - Mixed function"	"Cluster 3: Rhabdoid - Membrane components"	"Cluster 37: Glandular & Luminal cells - Unknown function"	72	"Endoplasmic reticulum, Plasma membrane"		"HPA003019: AB_1857622"	"unprognostic (2.27e-2)"	"unprognostic (9.71e-2)"	"unprognostic (1.14e-1)"	"unprognostic (6.40e-2)"	"unprognostic (3.57e-2)"	"unprognostic (1.20e-1)"	"unprognostic (2.07e-1)"	"unprognostic (2.21e-2)"	"unprognostic (8.83e-2)"	"unprognostic (1.08e-1)"	"unprognostic (2.71e-6)"	"unprognostic (3.58e-3)"	"unprognostic (4.14e-2)"	"unprognostic (3.82e-6)"	"unprognostic (8.25e-2)"	"unprognostic (1.12e-4)"	"unprognostic (1.25e-2)"	"unprognostic (4.64e-2)"	"unprognostic (6.53e-2)"	"unprognostic (1.73e-1)"	"unprognostic (3.51e-3)"	"unprognostic (5.99e-2)"	"unprognostic (8.67e-3)"	"unprognostic (3.77e-2)"	"unprognostic (8.11e-2)"	"unprognostic (7.29e-2)"	"unprognostic (1.91e-1)"	"unprognostic (5.58e-2)"	"unprognostic (3.63e-1)"	"unprognostic (8.18e-4)"	"unprognostic (1.90e-2)"
